date,Close
15/01/2018,13590
16/01/2018,11570.01
17/01/2018,11200.01
18/01/2018,11305.53
19/01/2018,11498.99
20/01/2018,12762.8
21/01/2018,11518.17
22/01/2018,10766.7
23/01/2018,10824.94
24/01/2018,11356.79
25/01/2018,11118
26/01/2018,11086.89
27/01/2018,11319
28/01/2018,11536
29/01/2018,11123.01
30/01/2018,9995
31/01/2018,10099.99
01/02/2018,9014.23
02/02/2018,8787.52
03/02/2018,9240
04/02/2018,8167.91
05/02/2018,6905.19
06/02/2018,7688.46
07/02/2018,7575.75
08/02/2018,8218.1
09/02/2018,8671.01
10/02/2018,8547.49
11/02/2018,8072.99
12/02/2018,8872.28
13/02/2018,8520.01
14/02/2018,9472.98
15/02/2018,10031.23
16/02/2018,10167.49
17/02/2018,11121.5
18/02/2018,10380.04
19/02/2018,11140
20/02/2018,11235.57
21/02/2018,10454.27
22/02/2018,9830
23/02/2018,10144.99
24/02/2018,9688.62
25/02/2018,9597.99
26/02/2018,10300
27/02/2018,10566.57
28/02/2018,10307.27
01/03/2018,10895.92
02/03/2018,11000
03/03/2018,11432.5
04/03/2018,11469.9
05/03/2018,11377.54
06/03/2018,10700
07/03/2018,9925
08/03/2018,9304.89
09/03/2018,9255
10/03/2018,8795.44
11/03/2018,9533.88
12/03/2018,9120
13/03/2018,9145.41
14/03/2018,8207.02
15/03/2018,8259.99
16/03/2018,8275
17/03/2018,7857.6
18/03/2018,8192
19/03/2018,8589
20/03/2018,8900
21/03/2018,8891.81
22/03/2018,8715.09
23/03/2018,8927.1
24/03/2018,8531.34
25/03/2018,8453
26/03/2018,8145
27/03/2018,7793.61
28/03/2018,7942.72
29/03/2018,7080
30/03/2018,6848.01
31/03/2018,6928.5
01/04/2018,6816.01
02/04/2018,7045.01
03/04/2018,7424.9
04/04/2018,6791.68
05/04/2018,6785.85
06/04/2018,6619.01
07/04/2018,6894.01
08/04/2018,7020.01
09/04/2018,6771.13
10/04/2018,6824.99
11/04/2018,6942.99
12/04/2018,7916
13/04/2018,7893.19
14/04/2018,8003.11
15/04/2018,8355.25
16/04/2018,8048.93
17/04/2018,7892.1
18/04/2018,8152.05
19/04/2018,8274
20/04/2018,8866.27
21/04/2018,8915.42
22/04/2018,8795.01
23/04/2018,8931.3
24/04/2018,9645.1
25/04/2018,8865.98
26/04/2018,9272.11
27/04/2018,8922.55
28/04/2018,9329.99
29/04/2018,9389.01
